buy_amount,buy_price,sell_amount,sell_price
0.02,7617.7,0.01829913,8008.5
0.00162656,7617.5,0.03649636,8008.6
0.01724747,7617.3,0.00048006,8009.2
0.03858534,7617.1,0.0737303,8009.3
0.0013701,7616.4,0.04,8010
0.0025,7616.3,0.199,8010.1
0.1,7616,0.01939143,8010.5
0.00777454,7615.8,0.0004,8010.9
0.002,7615.6,0.00050172,8011.8
0.05,7615.3,0.1008,8012
0.1,7615,0.001,8012.5
0.04580241,7614.3,0.382,8013
0.00138071,7613.8,0.006,8014
1.86796717,7612,0.008,8014.3
0.00202176,7611.8,0.00052339,8014.4
0.00139132,7611.3,0.00113495,8014.7
0.00144855,7611.1,0.01,8015
0.1,7611,1,8015.1
0.5,7610.7,0.204,8015.2
0.02868174,7610.4,0.0005,8015.7
4.17296,7610,0.2,8016
0.0025,7609.5,1,8016.7
0.01,7608.8,0.03554505,8017
0.00140193,7608.7,0.025,8017.9
0.07929,7608,0.0004,8018.3
0.05,7607.9,0.014994,8018.7
0.01,7607.3,0.0373849,8018.8
0.01868687,7606.8,0.11230812,8019
0.03129272,7606.7,0.0025,8019.4
0.20141254,7606.2,0.00056671,8019.5
0.04017161,7605.2,4.512136,8020
0.003,7605,0.199,8020.2
0.0030109,7604,0.05,8021
0.00142316,7603.6,0.24,8021.2
0.000789,7602.2,0.01,8021.3
0.0008,7602,0.0125,8021.4
0.001,7601.9,3.32314123,8022
0.01940657,7601.6,0.00058838,8022.1
6,7601.5,6.14031,8023
0.10143377,7601,0.002,8024.2
0.038861,7600.7,0.00044501,8024.3
0.41594672,7600.5,0.00061004,8024.7
4.1675076,7600,0.407,8025
0.00144438,7598.5,0.199,8025.3
0.001,7598.1,0.0004,8025.7
0.1,7597.5,0.5,8026
0.02012626,7596.4,7.3,8026.3
0.005,7596,0.00063171,8027.3
0.00145499,7595.9,0.94015,8028
0.0025,7595.8,0.008,8028.6
4.375,7594.3,0.03827344,8028.9
7.281,7594.1,0.00065337,8029.8
0.0014656,7593.4,0.045,8030
0.04175788,7593.2,0.199,8030.3
0.02861748,7591.9,0.015,8030.7
0.02084596,7591.1,0.02125698,8031.6
0.15,7591,0.08899483,8032
0.00147621,7590.8,0.00067503,8032.4
0.09,7590,0.10518906,8032.7
0.00148682,7588.3,0.0006967,8035
0.015,7588,0.078054,8035.2
0.00205431,7587.7,29.8093,8035.4
0.0016,7586,0.04,8035.5
0.02156566,7585.9,0.3,8036
0.00149744,7585.7,0.00071836,8037.6
0.00150805,7583.2,0.17,8038
0.0484462,7582.9,0.03,8038.2
0.0025,7582.1,0.2979,8038.7
0.04334416,7581.2,0.015,8038.9
0.1,7581,0.104375,8039
0.02228535,7580.7,0.03916197,8039.1
0.00151866,7580.6,0.04,8039.7
0.015,7580.4,2.03399,8040
0.0026,7580,0.00074003,8040.2
0.00452927,7578.1,0.199,8040.4
0.185852,7578,0.02029913,8041
0.03357812,7577.8,0.002,8042
0.3,7576.3,0.00076169,8042.7
0.69,7576,0.008,8042.9
0.02454493,7575.5,1.205864,8043.3
0.00056081,7575,5,8043.8
0.0036,7574.6,0.2,8045
0.001,7573.5,0.00207796,8045.3
0.05155049,7573,0.199,8045.5
0.015,7572.2,0.015,8045.9
0.1,7571,0.5,8046
0.41594672,7570.8,0.0283735,8046.1
0.00156111,7570.4,0.05,8046.5
0.02372475,7570.2,0.0186,8047
0.05591,7570,0.002,8047.2
0.04493043,7569.2,0.00080502,8047.9
1,7569,0.2,8048.4
0.0025,7568.4,0.02,8048.8
0.01,7568,0.05899742,8049
0.00157172,7567.9,0.04005051,8049.2
0.02266,7567,0.0095,8049.5
0.00158233,7565.3,0.64593272,8049.8
5.67644444,7565,10.167878,8050
0.02,7564.5,0.19982668,8050.5
0.00208685,7563.5,0.51,8052.3
0.000747,7563,0.02312252,8052.6
0.00159294,7562.8,0.10084835,8053
3,7561.1,14.99,8053.7
1.7,7561,0.025,8054
0.02861748,7560.7,0.001,8054.2
0.00160355,7560.2,0.025,8055
0.3,7560,0.01358543,8055.5
0.07461178,7559.9,0.19987001,8055.6
0.02516414,7559.8,0.043,8057
0.05609828,7559,0.008,8057.1
0.01,7558.1,0.0004,8057.7
0.00161416,7557.7,0.002,8057.8
0.0465167,7557.3,0.00089167,8058.2
0.02,7557,0.1,8059
1,7556.5,0.03947033,8059.3
0.025754,7556.2,0.04093905,8059.4
0.00162477,7555.1,0.007,8059.8
0.05,7555,0.015,8060
0.0025,7554.7,0.199,8060.6
0.04138384,7554.5,0.00091334,8060.8
0.00163539,7552.6,0.0058,8063
0.05108998,7551.4,0.000935,8063.3
0.1709,7551,0.1,8065
0.3,7550.5,0.015,8065.4
1.568748,7550,0.199,8065.7
0.02660354,7549.3,0.00095667,8065.9
0.04,7549,1.006,8066
0.00165661,7547.5,0.0989011,8066.1
0.005,7546,0.010744,8067.6
0.04810297,7545.3,0.00097833,8068.5
0.010319,7545,0.0004,8068.8
0.00166722,7544.9,3.95,8069
0.02732323,7544.1,0.015,8069.4
0.002,7544,0.04182759,8069.5
0.00167783,7542.4,0.199,8070.7
0.41594672,7541.2,0.001,8071.1
29.6128,7541.1,0.008,8071.4
0.12,7541,0.0368,8071.9
0.01,7540.9,0.02527168,8072.3
0.125,7540.1,0.1,8072.5
0.2497,7540,0.18,8073.2
0.00168844,7539.8,0.03829913,8073.4
1.0021194,7539.4,0.00102166,8073.6
0.02804293,7538.9,0.02498807,8073.7
0.00169905,7537.3,0.01,8074
1.3835647,7537,0.060488,8074.5
7.297,7535.9,0.021812,8074.6
0.02868172,7535.4,0.159,8075
0.00153635,7535,0.199,8075.8
0.00170967,7534.7,5,8075.9
0.15,7534.5,0.00145428,8076
0.504,7534.3,0.02969638,8076.2
0.02876263,7533.6,0.01,8076.4
0.04968924,7533.3,0.04135,8078
24.67525,7533.2,0.015,8078.1
0.00172028,7532.2,0.00106499,8078.8
0.1,7531,0.106,8079
2.2135739,7530,0.2,8079.5
0.00173089,7529.6,0.04271613,8079.7
0.02861748,7529.4,0.1073,8080
0.02948232,7528.4,0.2,8080.4
0.0025,7527.4,1.199,8080.8
0.07980092,7527.2,0.1,8080.9
0.0017415,7527.1,0.00108665,8081.4
0.05,7527,0.0004,8082.2
0.003136,7525,0.5,8082.5
0.00175211,7524.5,0.03,8083
0.2089,7523.4,0.00110832,8083.9
0.03120202,7523.2,0.004997,8085
0.00176272,7522,0.008,8085.7
0.30689251,7521.3,0.1995,8085.9
0.15,7521,1,8086
0.144211,7520.1,0.13408304,8086.5
0.06974277,7520,0.32414,8087
0.00177334,7519.4,0.1192638,8088
0.03492172,7518,0.00042066,8088.2
0.00178395,7516.9,0.025,8088.3
0.00215195,7515.3,0.47,8089
1.15,7515,0.00115164,8089.1
0.00179456,7514.3,0.02,8089.4
1,7514,0.04360467,8089.8
0.0025,7513.7,1.09185814,8090
0.16695,7513.4,0.199,8090.9
1,7513,0.002,8091.4
1,7512.9,0.00117331,8091.7
0.03164141,7512.7,0.02,8092
0.09080762,7512.5,0.01486275,8092.1
0.00131,7512.1,1.46112,8093
1,7512,0.025,8093.3
0.00180517,7511.8,5,8093.6
0.41594672,7511.5,0.00119497,8094.2
0.05,7511.1,0.02685362,8094.7
1.13,7511,0.004,8095
1.5,7510.1,0.051998,8095.2
35.7195,7510,0.5,8095.7
0.06859505,7509.8,0.5208,8096
0.05286178,7509.3,0.0235,8096.5
0.00181578,7509.2,0.00121664,8096.8
1,7509,0.025,8097
1,7508,0.01,8097.8
0.03236111,7507.5,0.10101,8098
0.005,7507.3,0.42,8098.4
1.05,7507,2,8098.8
0.00182639,7506.7,2.22197891,8099
1,7506,0.0012383,8099.4
0.025,7505.1,0.06,8099.9
2.395608,7505,21.22668655,8100
0.5,7504.9,0.13380737,8100.1
0.001837,7504.1,0.00055682,8100.4
1.213,7504,2.199,8101
0.05,7503.6,0.001,8101.3
1,7503,0.00125996,8102
0.03308081,7502.3,4.2,8103
0.15,7502.2,0.01,8103.9
1.01,7502,0.0004,8104.2
0.001,7501.9,0.00128163,8104.5
0.00184762,7501.5,0.362737,8105
