社群运营,乐麦信息技术(杭州)有限公司,大专,8K-12K,"['五险一金', '节日福利', '试用期全额', '定期团建', '带团队']",1-3年
汽车技师中工,广州钢动汽车配件有限公司,学历不限,4K-6K,"['包住', '餐补', '全勤奖', '带薪年假', '员工旅游']",1-3年
广州质控专员,海南飞迅达电子商务有限公司,学历不限,4K-6K,"['五险一金', '全勤奖', '带薪年假']",不限
英语教师4-6名（幼儿/小学/初中）,广州市番禺区优越教育培训中心,大专,3.5K-7K,"['五险一金', '绩效奖金', '年终分红', '节日福利', '带薪年假']",不限
产品总监,广州市分领网络科技有限责任公司,本科,8K-15K,"['五险一金', '全勤奖', '节日福利', '绩效奖金', '周末双休']",3-5年
生鲜品控主管,广州市乐家生鲜农产品有限公司,大专,6K-10K,"['年底双薪', '全勤奖', '员工旅游', '节日福利', '带薪年假']",3-5年
快递补码员（广州白云）,德邦物流股份有限公司,大专,4K-5.5K,"['住房补贴', '绩效奖金', '五险一金', '全勤奖', '弹性工作']",不限
汽车机修技师,广州钢动汽车配件有限公司,学历不限,5K-10K,"['全勤奖', '包住', '餐补', '员工旅游', '带薪年假']",1-3年
客服,广州良一仓网络科技有限公司,中专,4K-6K,"['全勤奖', '带薪年假', '节日福利', '购买五险']",不限
快递补码员,德邦物流股份有限公司,大专,4K-5.5K,"['住房补贴', '绩效奖金', '五险一金', '全勤奖', '弹性工作']",不限
德邦快递补码员,德邦物流股份有限公司,大专,4K-5.5K,"['住房补贴', '绩效奖金', '五险一金', '全勤奖', '弹性工作']",不限
Technical Supervisor技术主管,上海天祥质量技术服务有限公司,本科,10K-15K,"['周末双休', '五险一金', '绩效奖金', '加班补助', '餐补']",5-10年
水电施工员,富力集团,大专,8K-10K,"['五险一金', '定期体检', '包吃', '包住', '带薪年假']",3-5年
网络销售客服,泰康海外医疗咨询(广州)有限公司,大专,6K-8K,"['五险一金', '弹性工作', '地铁周边', '公司氛围好', '移动互联网']",1-3年
AP Supervisor 应付会计主管,上海天祥质量技术服务有限公司,大专,8K-10K,"['加班补助', '餐补', '五险一金', '年底双薪', '带薪年假']",3-5年
Sr HR Officer 高级人力资源专员,上海天祥质量技术服务有限公司,本科,4.5K-7K,"['五险一金', '带薪年假', '定期体检', '年底双薪', '绩效奖金']",3-5年
房建项目副经理（兼总工）（五险一金+包吃包住）,广东航鑫咨询有限公司,大专,8K-12K,"['五险一金', '绩效奖金', '全勤奖', '包吃', '包住']",5-10年
java开发工程师（中级）,广州赛森软件开发有限公司,大专,8K-12K,"['五险一金', '年底双薪', '绩效奖金', '员工旅游']",1-3年
生鲜品控主管,广州市乐家生鲜农产品有限公司,大专,6K-10K,"['年底双薪', '全勤奖', '员工旅游', '节日福利', '带薪年假']",3-5年
快递补码员（广东广州）,德邦物流股份有限公司,大专,4K-5.5K,"['五险一金', '绩效奖金', '全勤奖', '餐补', '带薪年假']",不限
实验室质检员QC,广州泛恩生物科技有限公司,大专,4.3K-7K,"['创业公司', '周末双休', '五险一金', '绩效奖金', '带薪年假']",1-3年
QC主管,广州泛恩生物科技有限公司,本科,8.5K-15K,"['创业公司', '周末双休', '五险一金', '绩效奖金', '带薪年假']",3-5年
硬件技术员,广州思喏电子科技有限公司,学历不限,3K-4.5K,"['绩效奖金', '年终分红', '全勤奖', '员工旅游', '节日福利']",不限
Android开发工程师,广州睿宝儿童健康管理有限公司,本科,6K-12K,"['五险一金', '绩效奖金', '带薪年假', '节日福利', '住房补贴']",1-3年
采样工程师,广东万德检测技术股份有限公司,大专,4K-8K,"['五险一金', '包住', '餐补', '带薪年假', '通讯补助']",不限
快递补码员（广东广州）,德邦物流股份有限公司,大专,4K-6K,"['五险一金', '绩效奖金', '全勤奖', '餐补', '节日福利']",不限
细胞培养主管,广州泛恩生物科技有限公司,本科,10K-15K,"['创业公司', '周末双休', '五险一金', '绩效奖金', '带薪年假']",3-5年
设备工程师,上海天祥质量技术服务有限公司,中专,6K-8K,"['五险一金', '年底双薪', '餐补', '带薪年假', '周末双休']",3-5年
项目经理java,广州尚者科技有限公司,本科,15K-20K,"['包住', '包吃', '员工旅游', '定期体检', '房补']",5-10年
创意策划（资深/主管级别）,乐麦信息技术(杭州)有限公司,大专,6K-12K,"['试用期全额', '定期团建', '弹性工作', '五险一金', '年底双薪']",1-3年
设备技术员,上海天祥质量技术服务有限公司,中专,4K-6K,"['五险一金', '年底双薪', '绩效奖金', '餐补', '带薪年假']",1-3年
施工员,广州天瑞广业装饰有限公司,大专,6K-8K,"['包住', '员工旅游', '项目奖金', '社保']",1-3年
HR Assistant 人力资源助理,上海天祥质量技术服务有限公司,大专,4K-6K,"['五险一金', '年底双薪', '餐补', '带薪年假', '周末双休']",1年以下
Testing Technician杂货测试技术员,上海天祥质量技术服务有限公司,大专,4K-6K,"['五险一金', '年底双薪', '绩效奖金', '餐补', '带薪年假']",1-3年
Building Products Engineer 安防工程师,上海天祥质量技术服务有限公司,本科,6K-8K,"['五险一金', '年底双薪', '绩效奖金', '加班补助', '餐补']",1-3年
药品注册专员,广州泛恩生物科技有限公司,本科,8.5K-15K,"['创业公司', '周末双休', '五险一金', '绩效奖金', '带薪年假']",3-5年
环境监测采样人员,广东粤风环保有限公司,大专,4K-7K,"['周末双休', '包吃', '带薪年假', '员工旅游', '补充医疗保险']",不限
资深文案,广州天橙广告有限公司,本科,10K-15K,"['社保', '包吃', '全勤奖', '年底双薪', '节日福利']",3-5年
彩妆研发工程师,广州市蝶妆化妆品有限公司,中专,8K-10K,"['节日福利', '员工旅游', '全勤奖', '五险一金', '加班补助']",3-5年
客服文员,广东君通商业机器有限公司,中专,4K-6K,"['年底双薪', '绩效奖金', '加班补助', '五险一金', '带薪年假']",不限
生产管理,广州市蝶妆化妆品有限公司,中专,10K-15K,"['节日福利', '员工旅游', '全勤奖', '五险一金', '加班补助']",3-5年
执业药师-处方审核员,广东大翔药业有限公司,大专,4K-8K,"['五险一金', '带薪年假', '弹性工作', '定期体检', '免费班车']",不限
调度员,广州市万发物流有限公司,学历不限,4K-6K,"['房补', '餐补', '全勤奖']",不限
项目执行,中元文化传媒(广州)有限公司,学历不限,6K-8K,"['五险一金', '绩效奖金', '带薪年假', '餐补']",不限
高级java工程师,广州至爱智家科技有限公司,本科,12K-20K,"['五险一金', '年底双薪', '绩效奖金', '餐补', '带薪年假']",3-5年
中小学英语教师,广州启智文化发展有限公司,大专,8K-15K,"['五险一金', '带薪年假', '员工旅游', '定期团建', '工作居住证']",1-3年
投标专员,广州穗科建设管理有限公司,大专,4K-6K,"['五险一金', '年底双薪', '绩效奖金', '包住', '定期体检']",1-3年
业务经理,广州市方达资产运营有限公司,大专,8K-10K,"['周末双休', '定期团建', '创业公司', '弹性工作', '带薪年假']",不限
微生物检验员,广州市同恩医疗器械有限公司,大专,3K-5K,"['包吃', '交通补助', '包住', '五险一金', '员工旅游']",无经验
web开发工程师,广东合润融资担保有限公司,本科,6K-10K,"['员工旅游', '五险', '周末双休', '定期体检']",1-3年
仓管员,广州百视通眼镜有限公司,学历不限,3.5K-3.6K,"['五险一金', '全勤奖', '带薪年假', '弹性工作', '员工旅游']",不限
Java高级软件开发工程师,深圳科迪新汇信息科技有限公司广州分公司,本科,10K-18K,"['五险一金', '年底双薪', '绩效奖金', '通讯补助', '带薪年假']",1-3年
创意策划,乐麦信息技术(杭州)有限公司,大专,6K-12K,"['试用期全额', '定期团建', '弹性工作', '五险一金', '年底双薪']",1-3年
业务代表（番禺）,德邦物流股份有限公司,大专,4K-6K,"['五险一金', '绩效奖金', '全勤奖', '餐补', '房补']",不限
业务代表（荔湾）,德邦物流股份有限公司,大专,4K-6K,"['五险一金', '绩效奖金', '全勤奖', '餐补', '房补']",不限
淘宝客服,广州市天河区沙河美蓝利服装店,学历不限,5K-8K,"['包吃', '包住', '节日福利']",不限
大学城高薪诚聘快递员+免费配车,德邦物流股份有限公司,高中,5K-8K,"['高温补贴', '绩效奖金', '弹性工作', '交通补助', '带薪年假']",不限
越秀区高薪诚聘快递员+免费配车,德邦物流股份有限公司,学历不限,5K-8K,"['高温补贴', '绩效奖金', '弹性工作', '交通补助', '带薪年假']",不限
西塱鹤洞大桥高薪诚聘快递员+免费配车,德邦物流股份有限公司,学历不限,5K-8K,"['高温补贴', '绩效奖金', '弹性工作', '交通补助', '带薪年假']",不限
监理员,广东粤能工程管理有限公司,中专,3K-6K,"['年底双薪', '通讯补助', '补充医疗保险', '高温补贴', '包吃']",1-3年
施工管理员,广东昊邦机电工程有限公司,中技,4K-8K,"['五险一金', '绩效奖金', '交通补助', '员工旅游', '节日福利']",1-3年
文案策划,广州好酷信息科技有限公司,大专,4.5K-6K,"['五险一金', '周末双休', '带薪年假', '节日福利']",1-3年
中小学数学教师（新造校区）,广州启智文化发展有限公司,大专,8K-15K,"['五险一金', '带薪年假', '员工旅游', '定期团建', '工作居住证']",1-3年
产品开发主管（供应链）,广州市小伙伴供应链管理有限公司,大专,7K-9K,"['五险一金', '周末双休', '全勤奖', '绩效奖金', '员工旅游']",3-5年
圆通快递员,圆通速递有限公司,中专,6K-8K,"['包住', '交通补助', '弹性工作', '绩效奖金']",不限
（应用软件产品中心）android开发工程师,广州畅驿智能科技有限公司,学历不限,5K-8K,"['五险一金', '绩效奖金', '带薪年假', '周末双休', '年终分红']",1-3年
代建项目负责人,广州穗科建设管理有限公司,大专,6K-8K,[],3-5年
GS(游戏内运营专员）,广州生泰网络科技有限公司,大专,4K-6K,"['五险一金', '年底双薪', '绩效奖金', '包吃', '餐补']",无经验
现场管理/施工员,广州达蒙安防科技有限公司,学历不限,5K-8K,"['五险一金', '年终分红', '绩效奖金', '全勤奖', '包住']",不限
实验室助理,北京莱盟君泰国际医疗技术开发有限公司,大专,6K-8K,"['五险一金', '周末双休', '带薪年假', '节日福利', '补充医疗保险']",1-3年
施工图设计师,广州市俊越园林设计工程有限公司,本科,6K-8K,"['五险一金', '绩效奖金', '餐补', '加班补助', '员工旅游']",3-5年
