会计老师,金账本会计服务(广东)有限公司,大专,4.5K-9K,"['五险一金', '每年多次调薪', '公司重点项目', '定期团建', '绩效奖金']",1-3年
急聘行政助理,广州本至装饰设计有限公司,大专,3K-4K,"['年底双薪', '五险一金', '全勤奖', '带薪年假', '员工旅游']",不限
原油交易员,广州添利投资有限责任公司,学历不限,30K-50K,"['五险一金', '绩效奖金', '带薪年假', '弹性工作', '交通补助']",不限
招商经理,金账本会计服务(广东)有限公司,学历不限,5K-10K,"['五险一金', '每年多次调薪', '公司重点项目', '定期团建', '绩效奖金']",不限
合伙创业英语老师,韶关市十五分钟教育科技有限公司,本科,10K-20K,"['包住', '年终分红', '员工旅游']",不限
人力资源经理/人事行政经理,广州森农食品有限公司,大专,6K-10K,"['包吃', '包住', '绩效奖金', '通讯补助', '社保五险']",3-5年
客户代表,广州市音桥电子科技有限公司,中专,3K-6K,"['五险一金', '绩效奖金', '加班补助', '全勤奖', '包住']",不限
行政人事主管,广东领卓能源科技有限公司,大专,4K-7K,"['五险一金', '餐补', '带薪年假', '创业公司']",不限
财务经理,广州市妙佩品牌管理有限公司,大专,7K-10K,"['五险一金', '包吃住', '员工旅游', '绩效奖金', '年底双薪']",1-3年
线下拓展运营6000起,广州摩尚优品科技有限公司,大专,6K-8K,"['五险一金', '绩效奖金', '节日福利', '员工旅游', '包住']",1年以下
金沙洲广佛资源/高底薪/五险房产销售,贝壳找房(北京)科技有限公司,学历不限,10K-15K,"['绩效奖金', '带团队', '定期团建', '带薪年假', '全勤奖']",不限
实验室助理,北京莱盟君泰国际医疗技术开发有限公司,大专,6K-8K,"['五险一金', '周末双休', '带薪年假', '节日福利', '补充医疗保险']",1-3年
IFA独立理财规划师,深圳市前海辰宇投资咨询有限公司,本科,8K-10K,"['创业公司', '14薪', '五险一金', '员工旅游', '弹性工作']",不限
课程顾问,优势体育(深圳)有限公司,大专,8K-13K,"['五险一金', '通讯补助', '餐补', '弹性工作', '高温补贴']",不限
业务助理,广州市博展展览有限公司,中专,6K-8K,"['包住', '绩效奖金', '员工旅游', '节日福利', '五险一金']",不限
销售助理,广州粤纵置业有限公司,学历不限,4K-6K,"['五险一金', '绩效奖金', '通讯补助', '带薪年假', '住房补贴']",不限
储备主管（双休+高提成）,中国人寿保险股份有限公司广州市黄埔支公司周汉森营业部,中技,8K-10K,"['绩效奖金', '周末双休', '项目奖金', '带团队', '出国游']",不限
抗震支架销售经理,深圳市固耐达科技有限公司,本科,10K-15K,"['五险一金', '绩效奖金', '年终分红', '餐补', '项目奖金']",1-3年
java中级开发工程师,广州好酷信息科技有限公司,大专,12K-15K,"['五险一金', '绩效奖金', '加班补助', '全勤奖', '交通补助']",3-5年
人事部副主任,广州百视通眼镜有限公司,大专,5K-7K,"['全勤奖', '通讯补助', '带薪年假', '节日福利', '不加班']",1-3年
药店店长,国药控股广州有限公司,大专,6K-8K,"['五险一金', '绩效奖金', '交通补助', '通讯补助', '带薪年假']",1-3年
硬笔字书法老师,广州市黄埔区鑫峰室内儿童游艺厅,大专,6K-8K,"['包住', '包吃', '全勤奖', '通讯补助']",不限
采购,广州泛恩生物科技有限公司,大专,5K-8K,"['五险一金', '房补', '带薪年假', '创业公司', '周末双休']",1-3年
理财顾问,深圳市前海辰宇投资咨询有限公司,本科,6K-8K,"['创业公司', '14薪', '五险一金', '员工旅游', '弹性工作']",不限
工控类电子 硬件工程师,广州得麦电子科技有限公司,本科,12K-15K,"['定期体检', '节日福利', '定期团建', '弹性工作', '带薪年假']",3-5年
商标代理人,金账本会计服务(广东)有限公司,学历不限,4K-8K,"['五险一金', '每年多次调薪', '公司重点项目', '定期团建', '绩效奖金']",不限
高级预算员（安装）,广州众为工程咨询有限公司,本科,5.8K-10K,"['节日福利', '五险一金', '绩效奖金', '全勤奖', '交通补助']",3-5年
今日头条广告销售,北京字节跳动科技有限公司,大专,8K-14K,"['六险一金', '餐补', '节日福利', '每年多次调薪', '试用期全额']",不限
qa质量管理,广州泛恩生物科技有限公司,本科,6.5K-10K,"['创业公司', '周末双休', '五险一金', '绩效奖金', '带薪年假']",3-5年
留学文案（周末双休）,广州藤路教育信息咨询有限公司,本科,6K-8K,"['周末双休', '五险一金', '节日福利']",1-3年
总经理助理/总助/总裁助理（五险一金）,广州欧诺洁个人护理用品有限公司,大专,6K-10K,"['五险一金', '绩效奖金', '全勤奖', '餐补', '带薪年假']",3-5年
质量负责人,广东万洋药业有限公司,大专,8K-10K,"['年底双薪', '全勤奖', '包吃', '包住', '员工旅游']",3-5年
健康管理师,广州怀众健康科技有限公司,大专,5K-10K,"['五险一金', '年底双薪', '绩效奖金', '交通补助', '带薪年假']",1-3年
外贸采购,广州和百亮国际贸易有限公司,大专,4K-6K,"['节日福利', '带薪年假', '餐补', '加班补助', '五险一金']",1-3年
嵌入式硬件工程师 生产管理,广州得麦电子科技有限公司,大专,10K-12K,"['定期体检', '节日福利', '定期团建', '弹性工作', '带薪年假']",5-10年
招商经理,广州市小柠檬体育发展有限公司,大专,4K-8K,"['全勤奖', '高温补贴', '五险一金', '创业公司', '免费班车']",1-3年
品牌经理,广州中扬生物科技有限公司,大专,8K-15K,"['绩效奖金', '年底双薪', '员工旅游', '大牛带队', '全勤奖']",1-3年
1688诚信通运营,广州市韩妃化妆品有限公司,大专,5K-6.5K,"['包吃', '包住', '员工旅游', '节日福利', '弹性工作']",1-3年
项目专员/助理（双休+五险）,广东好又贷互联网信息服务有限公司,大专,4K-6K,"['五险一金', '绩效奖金', '加班补助', '带薪年假', '定期体检']",1-3年
金融衍生品交易员,广州一篮子信息科技有限公司,大专,8K-10K,"['定期团建', '周末双休', '不加班', '节日福利', '弹性工作']",1年以下
财务主管,广州樟木网络科技有限公司,本科,4K-6K,"['周末双休', '社保']",3-5年
【贝壳找房】旗下房产经纪人（高底薪+提成/可应届,贝壳找房(北京)科技有限公司,中专,7K-10K,"['五险一金', '绩效奖金', '带薪年假', '员工旅游', '弹性工作']",不限
