Python开发工程师助理,深圳市诺维尔科技互联网有限公司,本科,8K-10K,"['五险一金', '年底双薪', '绩效奖金', '餐补', '房补']",无经验
python工程师,深圳市中企工联保家电服务有限公司,本科,15K-20K,"['五险一金', '绩效奖金', '全勤奖', '包住', '餐补']",3-5年
python架构师,上海智聘人力资源有限公司,本科,30K-50K,"['五险一金', '通讯补助', '房补', '年终分红', '股票期权']",5-10年
python运维开发工程师,深圳市拓保软件有限公司,本科,10K-15K,"['五险一金', '绩效奖金', '交通补助', '餐补', '房补']",1-3年
Python爬虫开发助理/包住转正6K起,深圳市鹏力易视科技有限公司,大专,6K-8K,"['五险一金', '年底双薪', '包吃', '包住', '弹性工作']",不限
python运维开发工程师,深圳市睿服科技有限公司,本科,15K-20K,[],无经验
python,深圳市睿服科技有限公司,大专,10K-15K,[],不限
python开发工程师,深圳市睿服科技有限公司,学历不限,15K-20K,[],不限
Python开发（腾讯项目）,软通动力信息技术(集团)有限公司,本科,15K-20K,[],3-5年
数据开发-Python,软通动力信息技术(集团)有限公司,本科,7K-9K,[],1-3年
python开发,深圳市睿服科技有限公司,大专,10K-15K,[],3-5年
Python开发工程师,深圳市睿服科技有限公司,本科,10K-15K,[],3-5年
python工程师,深圳市睿服科技有限公司,大专,10K-15K,[],3-5年
Python开发工程师,深圳市睿服科技有限公司,本科,10K-15K,[],3-5年
python开发工程师(职位编号：杨思敏),深圳市睿服科技有限公司,大专,10K-15K,[],3-5年
Python算法工程师,深圳市腾尚时代互联网科技有限公司,本科,10K-15K,"['五险一金', '年底双薪', '全勤奖', '绩效奖金', '带薪年假']",不限
python开发/数据采集,深圳市鹏力易视科技有限公司,大专,4K-6K,"['五险一金', '年底双薪', '包吃', '包住', '弹性工作']",不限
Python开发工程师助理,深圳市诺维尔科技互联网有限公司,本科,8K-10K,"['五险一金', '年底双薪', '绩效奖金', '全勤奖', '交通补助']",不限
Python助理/包住,深圳思宝软件技术有限公司,大专,5K-7K,"['周末双休', '五险一金', '绩效奖金', '全勤奖', '加班补助']",不限
python数据分析,澜威视讯(北京)科技发展有限公司,本科,10K-15K,"['五险一金', '绩效奖金', '带薪年假', '带团队', '周末双休']",1-3年
python开发工程师,衍生(深圳)投资基金管理有限公司,本科,10K-20K,"['五险一金', '年底双薪', '周末双休', '定期体检']",3-5年
Python开发（测试开发方向）,信必优(深圳)信息技术有限公司,大专,13K-18K,"['五险一金', '带薪年假', '定期体检', '员工旅游', '补充医疗保险']",3-5年
Python算法工程师助理,深圳道町互联网科技有限公司,本科,8K-10K,"['五险一金', '年底双薪', '绩效奖金', '加班补助', '带薪年假']",1-3年
日语Java/Python开发工程师,Uniqsys优尼卡日本株式会社,本科,15K-30K,"['加班补助', '包住', '交通补助', '房补', '住房补贴']",不限
Python算法工程师,深圳道町互联网科技有限公司,本科,8K-10K,"['五险一金', '年底双薪', '绩效奖金', '加班补助', '带薪年假']",不限
python高级开发工程师,华南城集团有限公司,本科,15K-25K,"['绩效奖金', '带薪年假', '补充医疗保险', '五险一金']",5-10年
python开发工程师,深圳市问鼎资讯有限公司,本科,10K-20K,"['五险一金', '带薪年假', '定期体检', '周末双休', '年底双薪']",1-3年
java/Python开发助理,深圳市宇达计算机有限公司,学历不限,3.5K-7K,"['14薪', '包住', '公司重点项目', '大牛带队', '五险一金']",不限
python开发,深圳德科共赢创投合伙企业(有限合伙),大专,10K-15K,"['五险一金', '带薪年假', '节日福利', '公司重点项目', '大牛带队']",3-5年
python开发,马衡达信息技术(上海)有限公司,大专,10K-15K,"['五险一金', '绩效奖金', '带薪年假', '补充医疗保险', '定期体检']",3-5年
日语Java/Python开发工程师-初级,Uniqsys优尼卡日本株式会社,本科,5K-10K,"['加班补助', '包住', '交通补助', '房补', '住房补贴']",不限
