硬撑,2016-10-18 13:13
无量反弹,2016-10-18 10:55
量价背离,2016-10-18 10:49
国队別帮倒忙了,2016-10-18 10:25
补掉缺口才能上升,2016-10-18 10:25
越护越成僵尸,2016-10-18 10:23
下跌抵抗,2016-10-18 10:21
起来啦[赞][赞][赞],2016-10-14 13:37
国家队扯着蛋，不让跌，可鸡狗要跑。楼市股市如双杀，,2016-10-14 11:15
傻逼上证50拖大盘后退,2016-10-13 14:05
买买买[大笑],2016-10-12 23:40
尾盘杀爹是惯例，3千点是大顶，超过了就斩首。,2016-10-12 14:22
听说沙特要卖美国债券，是利好还是利空？,2016-09-30 10:47
美国股市已反弹二天了，中国股市还要跌的话就是有人在,2016-09-29 09:29
上证指数四季度回踩2750点一带力度大!,2016-09-28 11:25
上证50就是条狗,2016-09-27 14:28
会不会是最后一跌？除了节日预期全都是利好指数上涨，,2016-09-26 19:45
你上个交易日涨了吗？你有啥利空没报道？大跌几个意思,2016-09-26 15:11
要大乱,2016-09-26 14:58
反击空头,2016-09-26 14:09
国家队作好准备,2016-09-26 14:08
全球最差,2016-09-26 13:17
僵尸行情！,2016-09-26 13:14
只跌不漲,2016-09-26 13:14
垃圾护盘不力砸盘很积极！,2016-09-26 10:48
主力大力砸盘！,2016-09-26 10:09
美欧下跌缺口都已补完！,2016-09-26 09:59
主力刻意打压！,2016-09-26 09:57
欧美股指大涨，唯独我中华A股下跌,2016-09-23 13:29
尾盘发力上涨了,2016-09-22 14:39
做期权亏了的都去起诉华夏基金赔偿所有损失！ ETF大致,2016-09-22 12:18
无耻,2016-09-21 14:49
日股漲2℅,2016-09-21 14:46
PpP开始大放水了！,2016-09-21 13:49
港股大漲！,2016-09-21 13:27
不要压盘了,2016-09-21 13:23
半年前就上三千，半年后还在三千！,2016-09-21 13:19
国家队又站上了3米板。,2016-09-21 13:15
跌了一个多月，沒好好涨过一天！,2016-09-21 13:13
日股大漲！,2016-09-21 13:07
权重主力不作为！,2016-09-21 11:03
主力都跑了，还折腾啥？！,2016-09-21 10:40
中国股民资金，毁于一旦,2016-09-21 09:11
上证50你有罪！,2016-09-20 13:48
国家队mb哟……！,2016-09-20 11:27
有人说补缺，你信吗？反正我不信。证金减持，…,2016-09-20 10:50
"据凤凰财经：""国家队""悄悄减持，上半年大幅",2016-09-18 11:06
为何上证50股票砸盘？,2016-09-14 14:46
真他妈的垃圾市,2016-09-14 14:33
砸盘了，跳水了,2016-09-14 14:32
近五十点巨大缺口，全球第一！,2016-09-14 14:08
，股民资金，毁于一旦,2016-09-14 13:58
国家队大孙子，你有本事往下砸盘,2016-09-14 13:27
庄家大孙子，你有本事往下砸盘,2016-09-14 13:21
只能靠护盘支撑,2016-09-14 09:26
